time,mode,cmd_vx,cmd_vy,cmd_vz,cmd_yaw_rate,pos_x,pos_y,pos_z,roll,pitch,yaw,vel_x,vel_y,vel_z,target_yaw
0.0,hover,0.0,0.0,0.0,0.0,0.0,0.0,0.2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,hover,0.0,0.0,0.0,0.0,-2.4234806607122514e-08,1.985988022400469e-08,0.20131379575617936,-6.131296514905232e-07,-7.495189980542993e-07,-4.068070470893332e-10,-1.2117403303561257e-05,9.929940112002346e-06,0.006897878089681877,0.0
0.004,hover,0.0,0.0,0.0,0.0,-1.960118744575414e-07,9.458200802487496e-08,0.20144304765328733,-2.9158503126519067e-06,-5.790747662739251e-06,3.7319135324542326e-08,-8.588853392520945e-05,3.736106390043513e-05,0.06462594855398138,0.0
0.006,hover,0.0,0.0,0.0,0.0,-5.06264980586876e-07,2.163488017567272e-07,0.20167582084879937,-6.655884079887863e-06,-1.4443162109991758e-05,1.3278011813536614e-07,-0.0001551265530646673,6.088339686592612e-05,0.11638659775601551,0.0
0.008,hover,0.0,0.0,0.0,0.0,-9.466388525837707e-07,3.7689515578781226e-07,0.2019992398910857,-1.1563451575485832e-05,-2.602844366347163e-05,2.937106495935183e-07,-0.00022018693599844735,8.027317701554253e-05,0.16170952114317064,0.0
0.01,hover,0.0,0.0,0.0,0.0,-1.511638668621358e-06,5.692442007415403e-07,0.20240168487342464,-1.7407033328716666e-05,-3.9960653187053135e-05,5.197113966041735e-07,-0.00028249990801879375,9.617452247686402e-05,0.20122249116946678,0.0
0.012,hover,0.0,0.0,0.0,0.0,-2.1972195906192705e-06,7.874055318121999e-07,0.20287221060043026,-2.3985805521421018e-05,-5.5725073390639946e-05,8.043935913226168e-07,-0.0003427904609989562,0.00010908066553532979,0.23526286350280476,0.0
0.014,hover,0.0,0.0,0.0,0.0,-3.001397762252716e-06,1.0266008821660812e-06,0.20340156836187198,-3.113696893514339e-05,-7.289719177826276e-05,1.1384941088722932e-06,-0.0004020890858167227,0.0001195976751769407,0.26467888072086393,0.0
0.016,hover,0.0,0.0,0.0,0.0,-3.9229402577435424e-06,1.2828144037736867e-06,0.20398137814866202,-3.872270894908006e-05,-9.11127623569668e-05,1.510668151460656e-06,-0.00046077124774541344,0.0001281067608038028,0.28990489339502457,0.0
0.018000000000000002,hover,0.0,0.0,0.0,0.0,-4.9617708155897e-06,1.5528698655302994e-06,0.20460459886607493,-4.663217937053142e-05,-0.00011007404908956517,1.9096140488563846e-06,-0.0005194152789230788,0.0001350277308783063,0.31161035870645604,0.0
0.02,hover,0.0,0.0,0.0,0.0,-6.118068216072076e-06,1.8341146282570104e-06,0.20526493749356894,-5.4772241132948586e-05,-0.00012952715250235061,2.323059936223512e-06,-0.000578148700241188,0.0001406223813633555,0.3301693137470068,0.0
0.022,hover,0.0,0.0,0.0,0.0,-7.39257344331482e-06,2.124468761692354e-06,0.20595710388422944,-6.306824669474344e-05,-0.00014926414285837143,2.7425511660461073e-06,-0.0006372526136213717,0.00014517706671767175,0.34608319533024506,0.0
