time,px,py,pz,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,goal_x,goal_y,goal_z,u1,u2,u3,u4,u5,u6,u7,u8,u_alpha,u_beta,solve_time,dist_fx,dist_fy,dist_fz,dist_mx,dist_my,dist_mz,actual_dist_fx,actual_dist_fy,actual_dist_fz,actual_dist_mx,actual_dist_my,actual_dist_mz
3.310235023498535,0.29646265046213693,0.10715264996098274,0.914993307015232,0.9936282156468849,0.015163556255179617,-0.045210423540959555,0.10212273613320483,0.6099316219517694,0.29892131665745586,0.006201886611104185,0.06121724506875421,-0.18316872607805748,-1.0254339731154691,0.725052249999982,0.0,1.0,21.71084404077175,21.784904453627803,18.499103019869644,19.374336213404415,19.96867106370204,26.73772099459556,17.11057770190661,24.09343294158264,1.1471975512762218,1.0471975512777414,0.001586841000005279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3198232650756836,0.3026373570502642,0.11007880660666443,0.9153210289231895,0.9940854639489334,0.015694686967462214,-0.046021872035966145,0.09710692282599455,0.6174706588127221,0.29261566456816857,0.032772190795745254,0.04223589859201588,-0.1831815671142053,-1.008455876490908,0.7318079999999821,0.0,1.0,21.61407446785469,22.108241135865363,18.35957911377068,19.74321307447187,19.969937481322027,26.82009071201724,17.07314745302692,24.16309207759788,1.1471975512517556,1.0471975512553666,0.0014465559999905508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.329909563064575,0.30888349550322,0.11293900154714352,0.9159135948658975,0.9945106276321337,0.01613511887595087,-0.046839083462099626,0.09216490506711568,0.6246138452955776,0.2860194940479088,0.059256594270803514,0.024871375839279133,-0.18262949117082955,-0.9923078071213759,0.7385157499999819,0.0,1.0,21.4408897986195,22.43667018037901,18.130059161802357,20.11061794284511,19.902957071346133,26.893072753721256,16.950562976970524,24.231779576970748,1.147197551375907,1.0471975513924394,0.0018893469999738954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3393349647521973,0.3151976249051648,0.1157308119178826,0.9167673217828249,0.9949052593009919,0.0164921276489528,-0.04765783992623224,0.08729412943837585,0.631412940194481,0.2791810370739089,0.0853726916927425,0.009015699487515148,-0.18145515488739172,-0.9767881272792251,0.7451739999999818,0.0,1.0,21.204145815296926,22.75437278672194,17.820783768040425,20.463686737485137,19.77206852829353,26.960081937671184,16.745916786586253,24.302323155276813,1.1471975512302677,1.0471975512337777,0.0014079659999879368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3489980697631836,0.32157697359393317,0.11845244215069047,0.9178701520280935,0.9952707450076118,0.016772279348728734,-0.04847452855703351,0.08249275640088966,0.6379348688768401,0.2721630232807856,0.11028302452685468,-0.005483707495490446,-0.1797507190653451,-0.9617435431454192,0.7517812499999819,0.0,1.0,20.919082924216355,23.06131815113245,17.449036264524878,20.80301179409058,19.588147921253086,27.030648667194534,16.47276573236803,24.382311743556272,1.1471975513509491,1.0471975513677472,0.0012718259999928705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3600316047668457,0.3280201000623135,0.12110281646809241,0.9192008050577762,0.9956083738046777,0.016981674871616965,-0.04928576065301108,0.07775926006216542,0.6443126468380382,0.2650374317401943,0.13306530296827282,-0.01872654078947619,-0.17753954964013455,-0.9471049647162245,0.7583359999999819,0.0,1.0,20.609884845661448,23.34814625726314,17.039724773765755,21.12091600874586,19.370970649206303,27.103427615828707,16.152460685822867,24.469848487819473,1.1471975512111292,1.0471975512126603,0.0017495449999955781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3694686889648438,0.3345259878641803,0.12368124745974875,0.920734165853818,0.9959193143880555,0.017126114517556277,-0.05008916516534928,0.0730923454501017,0.6505887801866778,0.2578430991656332,0.15333607960417248,-0.030792025261956804,-0.17500763022702792,-0.9328181929489281,0.764836749999982,0.0,1.0,20.292593303902652,23.61469772667897,16.613506684298134,21.41809584769487,19.134348057036984,27.183857966034523,15.80390839387356,24.569404843365568,1.1471975513443646,1.047197551358569,0.001328976999985798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.38065242767334,0.34109408930328805,0.12618735463523276,0.9224438179766216,0.9962046378099757,0.01721098709414785,-0.05088331709213891,0.06849079916924919,0.6568101439107755,0.25061071754840075,0.17096521228035846,-0.04177900884022237,-0.1723265837449981,-0.9188581998294235,0.7712819999999818,0.0,1.0,19.97729023254565,23.856133260200725,16.18396627166529,21.690259665037573,18.88756813999741,27.269224463197062,15.44032586987448,24.677384848212096,1.147197551328608,1.0471975513395508,0.001626646000005394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.389012336730957,0.3477238714376317,0.12862092293013352,0.9243036668926747,0.996465347045517,0.017241260313348123,-0.051667224626194025,0.0639534907545496,0.6629782134343685,0.243356829490078,0.18598489160532264,-0.051778683202771784,-0.16956691390768722,-0.9052016988577188,0.777670249999982,0.0,1.0,19.67197172043841,24.074264265138176,15.761621391949042,21.939607640888777,18.639027155675667,27.361058142413754,15.072946989072838,24.794728792043255,1.1471975513493378,1.0471975513597376,0.0014486049999788975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.399557113647461,0.3544148371952781,0.13098185660473266,0.9262892932595841,0.9967023982545001,0.017221410177674083,-0.052440068229831355,0.05947933749859787,0.6690965757646389,0.2360933674599133,0.19856263669093527,-0.060892242089865545,-0.1667475039284217,-0.8918327786633623,0.7839999999999822,0.0,1.0,19.38337625169057,24.26734950467283,15.35490720294741,22.164429974154007,18.39617200000322,27.456025753482354,14.711194040061876,24.91736636023852,1.1471975513210848,1.0471975513276157,0.0013039490000039677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.408851385116577,0.3611661889358866,0.13327010175555645,0.9283786631696809,0.9969166987137569,0.01715543794262271,-0.0532013005307227,0.055067307874112105,0.6751351740608486,0.22882451508237892,0.2089369910096739,-0.06921822552899388,-0.16390885223256177,-0.8787345181483189,0.7902697499999819,0.0,1.0,19.113773205237308,24.437390434060163,14.968532659927897,22.36638369020231,18.16241884568675,27.553998623635337,14.361044142303259,25.04423070326081,1.1471975513509771,1.0471975513566623,0.0012584920000051625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.41965651512146,0.3679768614979729,0.13548563201870206,0.9305524733084919,0.9971091253358801,0.017046903872559898,-0.05395039085256782,0.05071637375771298,0.6810672562086277,0.22155302631456106,0.21738101388109726,-0.07684551640648,-0.16104228553951158,-0.8659008531300273,0.7964779999999823,0.0,1.0,18.863827969244426,24.5852488895365,14.604195456575649,22.545617530355482,17.939785615594875,27.652678734646006,14.025616683040154,25.171888640088817,1.1471975513283368,1.04719755133123,0.001661456999983102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.429642915725708,0.3748454123063537,0.13762842863461885,0.9327941008516871,0.9972805264610283,0.01689902709212138,-0.054686847341192175,0.04642545802505573,0.6868550808380854,0.2142796615916802,0.2241627543195256,-0.08384389140973389,-0.1581459772385531,-0.8533370557351221,0.8026232499999822,0.0,1.0,18.632368426658765,24.714337752800162,14.261598514190439,22.7045233983392,17.72892178348258,27.750672620594475,13.70632803747342,25.297730601644286,1.1471975513464143,1.0471975513478122,0.001655654999979106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
