time,px,py,pz,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,goal_x,goal_y,goal_z,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10
0.0,0.6462897186580541,-0.0027488615768184225,1.220312287808491,0.8642428737750785,0.033537905102413564,0.08195810075078774,0.49521948040405306,0.3483633465140671,0.04640473855904594,-0.054564526316884014,-0.26615386398110374,0.03550304409509642,0.29805458102315463,0.9955619646030814,0.09410831331849955,1.0,24.0,24.0,0.0,0.0,24.0,24.0,0.0,0.0,2.07,1.07
0.009347200393676758,0.649867425388983,-0.002509317692302249,1.220112827971093,0.8636998126674847,0.0360444231146872,0.08021111122943764,0.4962757406884012,0.35777067309289307,0.023954388451617358,-0.019945983739798764,0.2465486679661325,-0.5342343123229468,0.2891644553945191,0.9952614022063098,0.0972354939223845,1.0,24.0,24.0,0.0,0.0,24.0,24.0,0.0,0.0,2.07,1.07
0.019975662231445312,0.6535443949028421,-0.0024927134899827836,1.2202291781831154,0.863272944493906,0.042017999343136825,0.07746942251220061,0.49698370155534166,0.3676969513859075,0.0016604202319465446,0.011635021202224684,0.7514740882366614,-1.0545635905138813,0.2802580023335239,0.9949510169813016,0.10036171485119998,1.0,9.056069994942982,24.0,4.802198298802773,0.0,9.056069994942982,24.0,4.802198298802773,0.0,2.07,1.07
0.02983236312866211,0.6572989593836436,-0.0025619592722982997,1.220104982412779,0.8627261079533212,0.04989680889219504,0.0758640736776008,0.4974521217596027,0.3754564480801502,-0.006924578231551598,-0.01241957703364422,1.1980969430242356,-1.0479011738097774,0.270795683195512,0.9946308119914339,0.10348694525040757,1.0,4.097875826503523,24.0,10.062533702645094,0.0,4.097875826503523,24.0,10.062533702645094,0.0,2.07,1.07
0.039005279541015625,0.661141987720173,-0.0026783250519409147,1.219757379051697,0.8619959692449801,0.05905271937928393,0.07575556246955907,0.49773167479500485,0.38430283365294404,-0.011636577964261503,-0.03476033610820732,1.572079617686733,-0.9157933802923841,0.26088482865232315,0.9943007903970005,0.10661115427524488,1.0,5.011253963291605,24.0,9.435217925051875,0.0,5.011253963291605,24.0,9.435217925051875,0.0,2.07,1.07
0.04947471618652344,0.6650577386202403,-0.0028453380242292052,1.219190598930175,0.8610817988568786,0.06924229251091403,0.07683327852814278,0.4978356033027899,0.39157509000673896,-0.01670129722882905,-0.0566780121521818,1.8732121364194314,-0.8134734788592285,0.25057887864439143,0.9939609554551814,0.10973431109103017,1.0,5.189081466533636,24.0,9.546354456682092,0.0,5.189081466533636,24.0,9.546354456682092,0.0,2.07,1.07
0.05980968475341797,0.6690384848251331,-0.0030607087018906386,1.2184156250058795,0.8599769268070598,0.08019954336015475,0.0789001665825024,0.49777754300245597,0.3980746204892774,-0.021537067766143343,-0.07749739242954574,2.109049048703203,-0.7188708812420801,0.239768100426719,0.9936113105200102,0.11285638487346653,1.0,5.501679450536246,24.0,9.504470167965119,0.0,5.501679450536246,24.0,9.504470167965119,0.0,2.07,1.07
0.06930804252624512,0.6730790072639827,-0.0033235202620513654,1.2174410790828274,0.8586795095042612,0.09170964641499792,0.08177389960517437,0.49756594543368965,0.4040522438849722,-0.02628115601607268,-0.0974545923052151,2.289984410362884,-0.6345611300303986,0.2283120497687301,0.9932518590423411,0.11597734480894616,1.0,5.790028668564831,24.0,9.466190761876891,0.0,5.790028668564831,24.0,9.466190761876891,0.0,2.07,1.07
0.08007073402404785,0.6771772227606366,-0.0036331661225888364,1.2162747380546213,0.8571908046493383,0.10360031631420095,0.08530546950218909,0.4972060697107684,0.40982154966539347,-0.030964586053747092,-0.1166341028206168,2.4267472886826322,-0.5590490699726232,0.21604129439234496,0.9928826045698155,0.11909716009485447,1.0,6.072044888339832,24.0,9.409403086988519,3.307347208900836,6.072044888339832,24.0,9.409403086988519,3.307347208900836,2.07,1.07
0.08941817283630371,0.6813347835871685,-0.003989139234001278,1.2149369753323607,0.8555188050824659,0.11570712700648408,0.08935433706236025,0.4967043762222375,0.41575608265318603,-0.035597311141244106,-0.13377627222606603,2.521466809073668,-0.4916681272145204,0.20292451448182985,0.9925035507468256,0.1222157999398741,1.0,6.323115135470898,24.0,9.330553890860898,12.21265883603013,6.323115135470898,24.0,9.330553890860898,12.21265883603013,2.07,1.07
0.09986996650695801,0.6855709618807497,-0.004388617150782519,1.213585413214205,0.853723369561825,0.12753698719804935,0.09359267033344834,0.49611605216955385,0.4236178293581283,-0.039947791678124206,-0.13515621181557325,2.497303316716984,-0.43153418336271326,0.191029608959835,0.9921147013144798,0.12533323356428885,1.0,6.415444628912333,24.0,9.100865951458587,17.040544286063863,6.415444628912333,24.0,9.100865951458587,17.040544286063863,2.07,1.07
0.10908937454223633,0.6899155718173245,-0.004834302245054641,1.2123669766002143,0.8518698942309222,0.1387204258867094,0.09776372506559083,0.495496297469626,0.434460993657477,-0.044568509427212154,-0.12184366139907515,2.3823143485804295,-0.37859452917979225,0.18103719983221672,0.9917160601105649,0.12844943020028737,1.0,6.321660563948648,24.0,8.762841973240251,18.5079252274993,6.321660563948648,24.0,8.762841973240251,18.5079252274993,2.07,1.07
0.11962008476257324,0.6943894714037057,-0.005331349932408248,1.2113158540214009,0.8499853846632704,0.14923367668172588,0.10181965143216765,0.4948604997220118,0.4473899586381089,-0.04970476873536069,-0.10511225788134307,2.2578885260812736,-0.3316305845111937,0.17146879801024764,0.9913076310695086,0.131564359092267,1.0,6.165759257100391,24.0,8.397140569497024,19.382671158525767,6.165759257100391,24.0,8.397140569497024,19.382671158525767,2.07,1.07
0.13015389442443848,0.699008037416123,-0.005882212493683835,1.2104383983783957,0.8480870703234131,0.15910715371117276,0.10575131442815751,0.4942164447738434,0.4618566012417414,-0.055086256127558644,-0.08774556430051189,2.1374028188609424,-0.28939897672171794,0.16211135119194908,0.9908894182223408,0.13467798949713702,1.0,6.002972469355497,24.0,8.00096836727639,20.12911949195123,6.002972469355497,24.0,8.00096836727639,20.12911949195123,2.07,1.07
